,Topic,Count,Name,Representation,Representative_Docs
37,36,24,36_تورم_افزایش_اساس_حقوق,"['تورم', 'افزایش', 'اساس', 'حقوق', 'نرخ', 'متناسب', 'کارمندان', 'بر', 'دولت', 'کارگران']","['  درخواست افزایش حقوق کارمندان دولت متناسب با افزایش تورم', '  درخواست افزایش حقوق کارمندان دولت بر اساس تورم', '  درخواست افزایش حقوق کارکنان و کارمندان دولت بر اساس نرخ تورم']"
38,37,23,37_قرنطینه_شهرستان_شدن_شهر,"['قرنطینه', 'شهرستان', 'شدن', 'شهر', 'کشکوییه', 'کوهنانی', 'هودیان', 'بستک', 'راوند', 'زرندیه']","['  درخواست قرنطینه\u200cی استان همدان', '  درخواست قرنطینه شهرستان زرندیه', '  درخواست قرنطینه شهرستان لامرد']"
39,38,21,38_تحت_قرار_پوشش_گرفتن,"['تحت', 'قرار', 'پوشش', 'گرفتن', 'بیمه', 'روان', 'خدمات', 'درمانی', 'شناسی', 'نمایندگان']","['  درخواست تحت پوشش بیمه قرار گرفتن خدمات روان درمانی', '  درخواست تحت پوشش بیمه تأمین اجتماعی قرار گرفتن نمایندگان بیمه', '  درخواست تحت پوشش  بیمه تأمین اجتماعی قرار گرفتن نمایندگان بیمه']"
40,39,20,39_اجاره_بهای_رهن_مسکن,"['اجاره', 'بهای', 'رهن', 'مسکن', 'بها', 'املاک', 'نرخ', 'قیمت', 'خانه', 'نظارت']","['  مطالبه رسیدگی به افزایش بی\u200cدلیل اجاره بهای مسکن', '  درخواست رسیدگی به افزایش مبلغ رهن و اجاره\u200cبهای مسکن', '  کمپین توقف افزایش اجاره بهای مسکن']"
41,40,19,40_استاندار_انتخاب_بومی_جوان,"['استاندار', 'انتخاب', 'بومی', 'جوان', 'انتصاب', 'چابهار', 'برای', 'فرماندار', 'آذربایجان', 'انقلابی']","['  درخواست انتخاب استاندار بومی برای استان همدان', '  درخواست انتخاب استاندار بومی برای استان آذربایجان غربی', '  مطالبه انتخاب استاندار بومی برای گیلان']"
42,41,17,41_رایگان_اینترنت_بسته_آموزان,"['رایگان', 'اینترنت', 'بسته', 'آموزان', 'اختصاص', 'دانش', 'دانشجویی', 'ارائه', 'نیمسال', 'برای']","['  درخواست اعطای بسته\u200cهای اینترنت رایگان به دانش\u200cآموزان', '  مطالبه اینترنت رایگان برای دانش\u200cآموزان', '  درخواست اختصاص اینترنت رایگان به دانشجویان']"
43,42,16,42_انحلال_شورای_شهر_اسلامی,"['انحلال', 'شورای', 'شهر', 'اسلامی', 'شهردار', 'سبزوار', 'آبادان', 'شواری', 'میشی', 'عزل']","['  درخواست انحلال شورای اسلامی شهر بندرعباس', '  درخواست انحلال شورای شهر آبادان', '  درخواست انحلال شورای اسلامی شهر آبادان']"
44,43,15,43_درصد_جانبازان_۲۵_زیر,"['درصد', 'جانبازان', '۲۵', 'زیر', '۵۰', 'بالای', 'مزایای', '۲۵درصد', 'فرزندان', 'جانباز']","['  درخواست همسان\u200cسازی مزایای جانبازان زیر ۲۵ درصد با بالای ۲۵ درصد', '  درخواست توجه به حقوق جانبازان زیر ۲۵ درصد', '  درخواست همسان\u200cسازی مزایای جانبازان زیر ۲۵ درصد با جانبازان بالای ۲۵ درصد']"
45,44,13,44_گواهینامه_موتور_موتورسیکلت_صدور,"['گواهینامه', 'موتور', 'موتورسیکلت', 'صدور', 'سیکلت', 'بانوان', 'کارت', 'پلاک', 'کلاسیک', 'رانندگی']","['  درخواست صدور گواهینامه موتور سیکلت برای بانوان', '  درخواست صدور گواهینامه موتور سیکلت برای بانوان', '  درخواست صدور گواهینامه موتور سیکلت برای بانوان']"
46,45,12,45_موعد_بازنشستگی_پیش_فرزند,"['موعد', 'بازنشستگی', 'پیش', 'فرزند', 'از', 'دارای', 'موعود', 'بیماران', 'زود', 'زودتر']","['  درخواست ایجاد امکان بازنشستگی پیش از موعد برای کارکنان دولت', '  درخواست بازنشستگی پیش از موعد کارکنان بانک\u200cها', '  درخواست بازنشستگی پیش از موعد کارمندان دولت']"
47,46,12,46_شماره_مورخ_بخشنامه_۱۲,"['شماره', 'مورخ', 'بخشنامه', '۱۲', '۰۵', '۳۰۶۱', 'مورخه', '۷۹۵۳۴', '۰۶', 'رساله']","['  درخواست لغو بخشنامه ۱۰/۷۹۵۳۴ مورخ ۹۸/۱۲/۷ با موضوع دفاع از رساله دکتری تخصصی دانشجویان دانشگاه آزاد', '  اعتراض به بخشنامه جدیدالصدور به شماره ۷۹۵۳۴/۱۰ مورخه ۹۸/۱۲/۰۷ در خصوص دفاع از رساله دکتری', '  درخواست اعمال ماده ۹۲ «قانون دیوان عدالت اداری» در خصوص بخشنامه شماره ۳۰۶۱ مورخ ۱۴۰۳/۰۵/۰۳ معاون آموزشی وزارت بهداشت']"
48,47,11,47_سهام_عدالت_جاماندگان_ثبت,"['سهام', 'عدالت', 'جاماندگان', 'ثبت', 'نام', 'بازماندگان', 'پرتفوی', 'نزد', 'سهامداری', 'وکالتی']","['  درخواست ثبت\u200cنام مجدد سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان یارانه و سهام عدالت']"
49,48,11,48_عادل_فردوسی_پور_بازگشت,"['عادل', 'فردوسی', 'پور', 'بازگشت', 'برنامه', 'نود', 'تلویزیون', 'فوتبالی', '۲۰۲۲', 'جام']","['  کمپین درخواست بازگشت عادل فردوسی\u200cپور به تلویزیون', '  درخواست بازگشت عادل فردوسی\u200cپور به برنامه\u200cهای فوتبالی', '  درخواست بازگشت عادل فردوسی\u200cپور و برنامه نود به تلویزیون']"
