,Topic,For_Info
83,عموم مردم ایران و مصرف کنندگان محصولات کشاورزی و باغبانی,-1
84,اساتید دانشگاه,42
85,داوطلبان آزمون استخدامی دبیری,1
86,جمعی از هواداران فوتبال باشگاه استقلال ایران,92
87,جمعی از دانشجویان,-1
88,جمعی از دانشجویان پیام نور,24
89,جمعی از روانشناسان,5
90,جمعی از کارکنان ایثارگر موظفی شش استان منطقه جنگی کشور,-1
91,جمعی از مردم و بدنه سازمان ملی استاندارد,86
92,جمعی از کارکنان ادارات فرهنگ و ارشاد اسلامی,-1
93,پزشکان عمومی و خانواده‌هایشان,-1
94,جمعی از فعالان رسانه‌ای، فعالان مجازی، روزنامه‌نگاران و خبرنگاران، استارتاپ‌ها و کسب و کارهای نوپا,-1
95,جمعی از پیشکسوتان، مربیان، داوران و ورزشکاران موی‌تای جمهوری اسلامی ایران,80
96,جمعی از دانشجویان رشته‌ی پزشکی دانشگاه‌های علوم پزشکی سراسر کشور,-1
97,جمع کثیری از زمین دارن منطقه کوی نخلستان شهرستان کارون,48
98,همه مردم ایران مخصوصا دانشگاهیان,18
99,کارکنان صنعت آب و برق,25
100,جمعی از داروسازان کشور و دغدغه مندان آینده سلامت کشور,-1
101,ناوگان تاکسی‌های ون,33
102,جمعی از دانشجویان روانشناسی و روانشناسان در کل کشور,6
103,جمعی از بازنشستگان-فرهنگیان-کارگران-کسبه و بازاریان و شکارچیان قانونمند و دارندگان سلاح شکاری مجاز,-1
104,جمعی از مهندسین ناظر کشاورزی و منابع طبیعی,49
105,جمعی از دانشجویان این رشته,108
106,جمعی از دانشجویان و فارغ التحصیلان رشته میکروبیولوژی,108
107,جمعی از فرهنگیان، دانشگاهیان و نومعلمان,-1
108,جمعی از اعضای کادر سلامت، بهداشت و درمان و دانشجویان و فارغ‌التحصیلان علوم پزشکی کشور,-1
109,جمع کثیری از دانش‌آموزان، دانشجویان و مهاجرین آلمان,-1
110,فعالان محیط زیست و مردم فهیم استان کردستان,0
111,جمعی از کارکنان شهرداری ها,17
112,عموم مردم شهری و روستایی,-1
113,بازنشستگان کشوری,-1
114,جمعی از جانبازان و ایثارگران,-1
115,بازنشستگان بانک سپه,104
116,جمعی از فرهنگیان و...,22
117,جمع کثیری ازدبیران تربیت بدنی,-1
118,دانش‌آموزان المپیادی سراسر کشور,12
119,جامعه بزرگ پرستاری ایران,32
120,عموم مردم به ویژه جامعه مهندسین عمران وشهرسازی,103
121,جمعی از دانش آموزان، اولیای دانش آموزان، دانشجویان دانشگاه های سراسر کشور و اولیای ایشان، خانواده های مدال آوران المپیادهای علمی و اعضای هیات علمی دانشگاه ها,134
122,مهندسان عملگرا,49
123,عموم مردم ایران,-1
124,جمعی از کارنامه سبزهای آزمون آموزگاری,-1
125,جمعی از بازنشستگان بانک ملت در سراسر کشور,6
126,جمعی از جانبازان,5
127,داروسازان,2
128,کارگران ساختمانی,129
129,کارگران، کارمندان و اصناف,47
130,عموم مردم و همچنین امدادگران و نجاتگران جمعیت هلال احمر,91
131,عموم کارمندان دولت,13
132,فرهنگیان، جوانان,132
133,بازنشستگان فرهنگی و فرهنگیان,97
134,دانشجویان,-1
135,جمعی از مهندسان ناظر استان قزوین,-1
136,جمعی از آموزگاران تربیت بدنی و بازنشستگان,-1
137,جمعی از پزشکان وکارکنان دانشگاه علوم پزشکی تهران,-1
138,جمعی از داوطلبان آزمون فارما ضد میکروبی و ایمنی بالینی,57
139,جمعی از ایثارگران,5
140,جمعی از پرسنل وزارت کار و تعاون,-1
141,جمعی از شرکت کنندگان در آزمون استخدامی آموزگاری,57
142,جمعی از متقاضیان استخدامی آموزش و پرورش (دبیری)، فرهنگیان,61
143,جمعی از کارنامه سبز های آزمون استخدامی دبیری و هنر آموزی ۱۴۰۳,-1
144,داوطلب‌های آزمون,1
145,جمعی از کارکنان شبکه بانکی,17
146,جمع کثیری از کارفرمایان، سرمایه‌گذاران، کارآفرینان، پیمانکاران عمرانی، جانبازان و معلولین,10
147,جمعی از دانش آموختگان ارشد و دکتری روانشناسی و مشاوره,108
148,جمع کثیری از کارفرمایان، سرمایه گذاران، کارآفرینان، پیمانکاران عمرانی، جانبازان و معلولین,10
149,شرکت کنندگان آزمون دبیری و هنرآموز ۱۴۰۳,1
150,جمعی از مالکین و حواله داران خودرو لاماری,-1
151,جانبازان تبصره یک حالت اشتغال و حقوق بگیر بنیاد شهید و امور ایثارگران,-1
152,وکلا و کارآموزان سراسر کشور,-1
153,سهامداران بازار سرمایه,76
154,جمعی از فعالان حوزه زنان,-1
155,جمعی از جوانان، پدر و مادرها و قشر تحصیل کرده,-1
156,جمعی از فرهنگیان سقز و زیویه,-1
157,جمعی از مشتریان پاکشوما,-1
158,جمعی از هواداران فوتبال، هواداران استقلال، هواداران پرسپولیس، هواداران تراکتور، هواداران سپاهان,92
159,جمعی از جامعه دانشگاهی ایران,-1
160,جمعی از پرسنل محترم نفت و گاز و پتروشیمی,-1
161,پرسنل منابع طبیعی استان‌ها و جمعی از انجمن‌های مردم نهاد,-1
162,جمعی از دانش‌آموزان,5
163,پزشکان،پرستاران،ماماها،بهیاران،بهورزان،فوریتهای پزشکی،کارشناسان هوشبری و اتاق عمل و سایر اعضای کادر بهداشت و درمان و عموم مردم شریف ایران,4
164,داوطلبان آزمون استخدامی آموزش و پرورش,61
165,داوطلبان آزمون استخدامی,1
166,جمعی از دانشجویان و فارغ‌التحصیلان علوم پزشکی,108
167,جمعی از راهبران آموزشی و تربیتی کشور,82
168,جمعی از سهامداران بازار سرمایه,98
169,جمعی از کارگران شرکتی و حجمی صنعت برق کشور,17
170,جامعه داروسازان ایران,32
171,جمعی از کارگران دارای بیمه تامین اجتماعی,125
172,جمعی از فرهنگیان ، بازنشستگان ، اعضای ستاد دکتر پزشکیان,-1
173,جمعی از هواداران فوتبال در سراسر ایران,92
174,جمعی از دانشجویان و دانشگاهیان و نخبگان انقلابی,-1
175,جمعی از اعضای ستادها و رای دهندگان به دکتر پزشکیان,0
176,جمع کثیری از اساتید، دانشجویان، کارکنان دانشگاه‌ها، فعالان مدنی، عموم مردم دغدغه مند ایران,-1
177,رای‌دهندگان به دکتر پزشکیان,0
178,جمعی از کارکنان، کشاورزان و ذی‌نفعان بخش کشاورزی,54
179,جمعی از فرهنگیان شاغل و بازنشسته,-1
180,جمعی از کارگران,5
181,جمعی از جوانان,5
182,عموم ملت شریف ایران,18
183,جمعی از کارکنان دیسپاچینگ,17
184,علاقمندان به تاریخ,-1
185,جهادگران جهاد دانشگاهی,-1
186,جمعی از کارکنان صنعت نفت,17
187,عموم مردمان سرزمین ایران و دوستداران طبیعت,0
188,جمعی از کارکنان دانشگاه‌های علوم پزشکی,-1
189,جمعی از کارگران و ملت شریف ایران,70
190,جمعی از بازنشستگان، کارمندان، مستاجرین، اقشار مختلف مردمی,-1
191,جمعی از نخبگان اجتماعی و کنشگران فضای مجازی,0
192,جمعی از پرسنل (کارمند و کارگر) قراردادی و رسمی شهرداری,-1
193,جمعی از دانش آموختگان در حال کار با بیمه تامین اجتماعی,6
194,وکلای دادگستری,89
195,جمعی از بازنشستگان کشوری وزارت بهداشت، فرهنگی و غیره,-1
196,جمعی از باستان شناسان و کنشگران,0
197,جمعی از جامعه ورزش,-1
198,جمعی از کارکنان نیروگاه‌های کشور,17
199,جمعی از دبیران آموزش و پرورش کشور,82
200,جمعی از سهامداران و رانندگان بازنشسته تعاونی شماره یک و ورثه رانندگان فوت شده,-1
201,دغدغه مندان میراث فرهنگی کشور,0
202,خانواده های دارای بیمار sma,27
203,جمعی از داوطلبان آزمون استخدامی آموزش پرورش و فارغ‌التحصیلان زبان وادبیات عربی,-1
204,مهاجرین مقیم ایران,74
205,جامعه بزرگ پرستاری و کادر درمان ایران,32
206,خواهران و برادران شهید,42
207,سربازمعلمان,2
208,بازنشستگان، کارگران، مددجویان، کارکنان بخش‌های مربوط به وزارت تعاون و کار و رفاه اجتماعی,-1
209,دانشجویان دانشگاه آزاد,38
210,جمعی از داوطلبان,5
211,جمعی از مردم شهرستان بن,30
212,جوانان ایرانی,74
213,داوطلبان استخدامی آموزش و پرورش، معلمان,61
214,از طرف کلیه کارمندان ایثارگر شاغل بالای پنجاه سال سن,-1
215,پزشکان,2
216,ملت ایران,18
217,جمعی از نخبگان، متخصصان، کنشگران اجتماعی و عموم مردم ایران,0
218,جمعی از کارمندان آموزش و پرورش,82
219,جمع کثیری از دانش‌آموزان و فرهنگیان متوسطه دوم ایران سرافراز,-1
220,مهارت آموزان ماده ۲۸ استخدامی آموزش و پرورش,61
221,معلمین و فرهنگیان شاغل و بازنشسته,-1
222,جمعی از فرهنگیان انقلابی و ولایی شاغل وبازنشسته,-1
223,جمعی از فرهنگیان، دانشجویان، کنکوری‌ها،کد ۵ و ۱۹، رد گزینش شده‌ها,-1
224,جمعی از مشاوران، داوطلبان کنکور، دانش آموزان ، فرهنگیان,-1
225,جمعی از هنرمندان هنرهای تجسمی، انجمن‌های تجسمی، انجمن طراحان گرافیک ایران و انجمن نقاشان و ...,0
226,مشاوران تحصیلی، داوطلبان کنکور، دانش آموزان، فرهنگیان,-1
227,عموم سهامداران و فعالان بازار سرمایه,76
228,حواله دارن خودروی سهند,-1
229,فارغ التحصیلان رشته مدیریت صنعتی,106
230,جامعه کشاورزی,56
231,جوانان، سربازان، والدین,-1
232,جمعی از بازنشستگان کشوری,-1
233,جمعی از جانبازان کشور,-1
234,نخبگان، تحصیل کردگان، کنشگران اجتماعی و عموم مردم,0
235,جمعی از جامعه سهامداران بورس,98
236,خانواده شهدا، جانبازان، آزادگان، رزمندگان و مردم مناطق جنگ زده ایران,77
237,جمعی از درمانگران اعتیاد و دست اندرکاران بهداشت وسلامت جامعه,-1
238,جمعی از مربیان تربیتی مدارس و والدین دانش آموزان و معلمین مدارس,88
239,کارکنان ، بازنشستگان و بازماندگان صنعت نفت,-1
240,جمعی از جوانان ، دانشجویان، فرهنگیان، سازمان های مردم نهاد، فعالان اقتصادی و اجتماعی،کارمندان، حقوقدانان،بازرگانان، بازنشستگان، اصناف، و دیگر اقشار جامعه,10
241,عموم مردم اعم از ثبت نام کنندگان حج واجب و عمره و حتی کسانی که فرصت ثبت نام ایجاد شود ثبت نام می‌کنند,19
242,مالکان(رانندگان)خودروهای استیجاری,-1
243,جمعی از دندانپزشکان اساتید و دانشجویان دندانپزشکی,-1
244,دانش آموزان و قشر مذهبی جامعه,-1
245,حامیان تشدید کنترل و محدودیت‌ها بر استعمال دخانیات در مکان‌های عمومی,6
246,جمعی از استادان ، روسای دانشگاه‌ها و دانشجویان,-1
247,جمعی از فرزندان ایثارگران ایران,-1
248,کارگران و کارکنان شرکتی ادارات و سازمان‌ها و شرکت‌های دولتی و نیمه دولتی تمام کشور,13
249,دانشجویان، پزشکان، کنکوری ها و جوانان,45
250,هنرمندان و دستبافان و ...,22
251,کلیه آحاد جامعه، پرسنل سازمان‌های حمایتی، گروه هدف سازمان‌های حمایتی,47
252,جمعی از مودیان مالیاتی,5
253,عموم مسلمانان با غیرت,-1
254,جمعی از سهامداران بخت‌برگشته جمهوری اسلامی ایران,98
255,عموم مخاطبان و بینندگان چند میلیونی شبکه خانگی,-1
256,دبیران زیست شناسی سراسر کشور,12
257,جمعی از دانشجویان و فارغ‌التحصیلان دانشگاه‌های علوم پزشکی سراسر کشور,-1
258,جمعی از داوطلبین,5
259,آموزش دهندگان نهضت سوادآموزی,93
260,اقشار مختلف مردم,15
261,جمعی از مربیان قرآنی,-1
262,آموزش دهندگان نهضت سواد آموزی,93
263,جمعی از بازنشستگان,5
264,جمعی از دانش آموزان، داوطلبان کنکور، خانواده ها,-1
265,جمعی از کارکنان وزارت نفت و خانواده های آنان و عموم متخصص و دلسوزان کشور,-1
266,جمعی از مهندسان ساختمان,5
267,جمعی از کارمندان,5
268,عموم فرهنگیان,107
269,جمعی از جانبازان و آزادگان و خانواده شهدا و ایثارگران و خانواده های آنان,-1
270,قومیت‌های غیر پارسی زبان داخل جغرافیای ایران,131
271,جمعی از کارکنان و بازنشستگان کشوری و لشکری,-1
272,شاغلین در وزارت نفت ، پالایشگاهها ،مناطق عملیاتی جنوب و سکوها,25
273,فارغ‌التحصیلان رشته حسابداری,53
274,خانواده بزرگ بازنشسگان، فرهنگیان و مستمری بگیران,-1
275,بازنشستگان ذینفع کشوری ازسراسر ایران,-1
276,همه مردم,15
277,جمعی از بازنشسگان,5
278,جمعی از مهندسین و سرمایه‌گذاران مسکن,-1
279,جمعی از اعضای ستادهای دکتر پزشکیان,0
280,جمع کثیری ازملت ایران,70
281,جمعی از کارمندان دولت,17
282,جمعی از دلواپسان محیط زیست,0
283,جمعی از داوطلبان آزمون استخدامی آموزگاری۱۴۰۳,57
284,جمعی از فارغ التحصیلان دهه ۶۰ و ۷۰,-1
285,آموزگاران نهضت,-1
286,جمعی از مردم ایران,70
287,جمعی از شاغلین و بازنشستگان وزارت نفت,-1
288,جمعی از فرهنگیان . دانشجویان . خانواده ها. دانش آموزان,22
289,کارمندان دولت,13
290,جمعی از مردان و پسران ایران زمین,-1
291,جمعی از پرستاران کاردان / کارشناس اتاق عمل ،کاردان /کارشناس بیهوشی،بهیار،کمک بهیار،نیروهای 115,4
292,متقاضیان خودروهای وارداتی,19
293,جمعی از کارگران و فرهنگیان و بازنشستگان و کارمندان دولتی,-1
294,زیست بوم خلاق ایران اعم از شرکت های خلاق، خانه های خلاق و نوآوری، استارتاپهای صنایع فرهنگی,-1
295,همه اقشار مردم,15
296,شبکه کمک (جمعی از شبکه‌های تخصصی و تشکل‌های مدنی),0
297,عموم مردم شهر تهران، جمعی از زنان، مادران و دختران نوجوان,86
298,جمعی از اساتید دانشگاه، وکلا، طلاب، دانشجویان، حقوق‌دانان و کنشگران اجتماعی,130
299,سهامداران خاور,67
300,معلمان,2
301,جمعی از کارشناسان ، کارمندان و پیشکسوتان ،ایثارگران و عموم مردم و صاحب نظران حوزه تولید و کیفیت,-1
302,جمعی از فعالان حوزه شیلات و صیادان,-1
303,جمعی از کارشناسان و دلسوزان وزارت کشور,-1
304,دلسوزان ایران,-1
305,متقاضیان خرید خودرو,19
306,جمعی از مهندسین سازمان نظام مهندسی کشور,119
307,کارمندان دانشگاهی دارای مدرک دکترا,84
308,جمعی از داوطلبین آزمون استخدامی ماده ۲۸ آموزگاری سال ۱۴۰۳,57
309,جمعی از شاغلان تحت پوشش بیمه تامین اجتماعی کشور,125
310,جمعی از جوانان، پزشکان، کادر درمان، دانش اموزان، فرهنگیان، ورزشکاران، دانشجویان، کارگران، نظام مهندسی، نظام پزشکی، فدراسیون‌های ورزشی، هنرمندان,10
311,عموم ملت عزیز ایران,18
312,جمعی از کارکنان و معلم های آموزش و پرورشی که ۳۰ سال و بیشتر سابقه خدمت دارند,-1
313,جمع کثیری از جامعه فرهنگیان، بازنشستگان، عموم مردم,-1
314,کارکنان وزارت بهداشت و درمان,4
315,جمعی از اساتید دانشگاه دانشجویان مدیران کارآفرینان صنعتگران کارمندان,24
316,بیماران تالاسمی ، کارمندان مرتبط وزارت کشور، انتقال خون کشور ، بیماران خاص، درمانگاه تالاسمی بزرگسالان ظفر، انجمن‌های تالاسمی در استان‌ها، پزشکان متخصص خون انکولوژی با تخصص تالاسمی کودکان,4
317,جمعی از اساتید و کارمندان دانشجویان دانشگاه آزاد اسلامی و خانواده‌های آن‌ها,24
318,جمعی از جامعه ایثارگران کل کشور,-1
319,فعالین کسب و کارهای مجازی و عموم مردم,0
320,بازنشستگان کشوری و لشکری,8
321,جمعی از کارکنان انتقال خون و اهداکنندگان محترم خون,-1
322,جمعی از بانوان,5
323,جمعی از اساتید، مدیران و کارشناسان روابط‌عمومی و ارتباطات سراسر کشور,-1
324,جمعی از مدافعین حرم,122
325,فرهنگیان و بازنشستگان کشوری,97
326,جمعی از نیروهای شرکتی و حجمی در سراسر کشور,6
327,جمعی از نویسندگان، شاعران، ناشران، فعالان نشر دیجیتال، چاپخانه‌داران، لیتوگراف‌ها، اتحادیه‌ها و تعاونی‌های چاپ و نشر، انجمن‌های فرهنگی، هنرمندان تجسمی، تصویرگران، نقاشان، عکاسان، فیلمسازان، بازیگران، کارگردانان، موسیقی‌دانان، مجسمه‌سازان، هنرمندان تئاتر، نمایشنامه‌نویسان، منتقدان هنری، محققان فرهنگی و اساتید دانشگاه,10
328,اقشار مختلف مردم و جمعی از پرسنل وزارت نفت,86
329,جمعی از خانواده ایثارگران، فرزندان ایثارگر,122
330,جمعی از هنرمندان و اهالی فرهنگ,-1
331,جمعی از معلولین بینایی، جسمی و حرکتی، ضایع نخاعی و شنوایی استان کرمان,-1
332,جمعی از سازمان‌های مردم نهادکشور,-1
333,جمعی از دانش آموزان و معلمان,88
334,جمعی از جامعه فرهنگی و هنری,0
335,عموم مردم به‌خصوص ۶۰ درصدی که در انتخابات شرکت نکردند,6
336,جمعی از پزشکان عمومی کشور,-1
337,عموم شهروندان و مردم ایران، شخصیت‌های علمی و دانشگاهی، جمعی از روحانیون و علمای دینی ، جمعی از خانواده‌های شهدا، مومنین و وفادران به مکتب امام حسین,-1
338,مالباختگان زد ان اس,65
339,انجمن‌های دوستدار طبیعت,0
340,جمعی از اعضای سازمان نظام مهندسی معدن سراسر کشور,119
341,جمعی از کارگران ، کارمندان دولت ، بازنشستگان,-1
342,نگهبانان شرکت‌های خصوصی و دولتی ، کارگران,13
343,مال‌باختگان موبایل استقلال,-1
344,جمعی از بانوان و والدین,62
345,جمعی از پرسنل شاغل و بازنشسته راهداری و حمل و نقل جاده‌ای,39
346,جمعی از جوانان متخصص اهل سنت و جماعت,62
347,جمعی از فعالین اقتصادی و کارآفرینان فعال در ستاد های دکتر پزشکیان,6
348,بازنشستگان و مشارکین صندوق بازنشستگی مس,-1
349,شهروندان همه شهرها و روستاها,-1
350,جمعی از ناظرین گازرسانی در شرکت‌های گاز استانی,-1
351,جمعی از سردفتران و دفتریاران,-1
352,جمعی از دوطلبان آزمون استخدامی,57
353,جمعی از رزمندگان و ایثارگران,-1
354,حامیان حیوانات,0
355,جمعی از حامیان فرهیخته دکتر ابوالحسن الماسی بردمیل,0
356,جمعی از دانشجویان خارج از کشور,24
357,جمعی از کارکنان، کارگزاران و بیمه شدگان صندوق بیمه اجتماعی کشاورزان، روستاییان و عشایر,-1
358,جمعی از کارگران و کارمندان و ....,22
359,جمعی از شهروندان ایران، کارمندان شرکت نفت,-1
360,جمعی از دانش آموختگان و متخصصان جوان اهل سنت ایران,-1
361,روبان نارنجی های ایران,-1
362,خانواده‌های دارای بیمار قلبی در سراسر کشور,6
363,مردم بی‌صدای ایران,18
364,کارکنان شورای حل اختلاف,-1
365,مشتریان شرکت مدیران خودرو,19
366,جمعی از کارمندان بانک ملی ایران,-1
367,جمعی از دغدغه‌مندان، کنشگران، دلسوزان و دوستداران میراث فرهنگی کشور,0
368,زائران اربعین,2
369,افراد فاقد مسکن و دارای شرایط مسکن ملی,84
370,عموم مردم و جویندگان حق و حقیقت,-1
371,دوستداران میراث فرهنگی و باستانی,0
372,جمعی از جوانان و نخبگان,62
373,جمعی از متقاضیان آزمون استخدامی,57
374,کارمندان و کارگران,114
375,فعالان اقتصاد دانش‌بنیان و زیست‌بوم نوآوری,66
376,جمعی از دانشجویان و استاتید دانشگاه و فعالان عرصه رسانه,0
377,جمعی از داوطلبان آزمون آموزگاری آموزش و پرورش با کد ۱۹,61
378,جامعه‌ی کارگران، بازنشستگان، مستمری بگیران، فرهنگیان,47
379,جمعی از دانش آموزان، داوطلبین کنکور و اولیای آنان,-1
380,دانشجویان، کارنامه سبزها,132
381,جمعی از خانواده شهداء و ایثارگران,122
382,نیروهای آموزش و پرورش خرید خدمات آموزشی,46
383,کلیه اقشار مردم، مصرف کنندگان خودرو ، فعالین حوزه خرید و فروش خودرو، مونتاژکاران و صنف تولیدکنندگان خودرو,54
384,دانش آموزان دبیرستان و داوطلبان ورود به دانشگاه,-1
385,مطالبه گران شفافیت و مردمسالاری,-1
386,داوطلبان استخدامی آموزش و پرورش,61
387,جامعه بزرگ ایثارگران، جانبازان و خانواده شاهد,77
388,نیروهای شرکتی,3
389,جمعی از فرهنگیان، دانشجویان، و معلیمن,-1
390,جمعی از شهروندان ایران,-1
391,داوطلبان ورود به دانشگاه فرهنگیان و فارغ‌التحصیلان دانشگاه‌ها,-1
392,جمعی از کارآموزان وکالت ، وکلا ، حقوقدان‌ها، قضات و...,130
393,جمعی از کارشناسان و ناظرین طرح جهش تولید در دیمزارها,-1
394,جمعی از مردم خوب ایران,70
395,جمعی از جامعه حقوقی (وکلا، کارشناسان، مشاوران، اساتید و دانشجویان),130
396,کاربران اینترنت در ایران,59
397,جمعی از کارشناسان، فارغ التحصیلان و دانشجویان رشته مهندسی بهداشت محیط در همه استان‌های کشور,6
398,رزمندگان و ایثارگران جنگ تحمیلی,95
399,داوطلبین آموزگاری و کیفیت بخشی,-1
400,جمعی از مراقبین سلامت مدارس,-1
401,دکترمعلمان,2
402,رانندگان سواری کرایه کل کشور (تاکسی های برون شهری),33
403,جانبازان معسر,2
404,ثبت‌نامی‌های شرکت سایپا,19
405,جمعی از دبیران فارسی متوسطه اول,-1
406,جمعی از وکلا,5
407,عموم شهروندان ایران,-1
408,جمعی از رزمندگان دفاع مقدس,-1
409,تمام مردم ایران,18
410,عموم مردم دغدغه‌مند به ویژه مردم کرج تهران و قم,83
411,کلیه اقشار جامعه بخصوص بانوان,15
412,جمعی از حامیان و مدافعان حقوق حیوانات حیوانات و عموم مردم ایران,0
413,دانش‌آموزان سراسر کشور,12
414,جمعی از کارمندان و کارگران مجرد و متاهل‌های دارای فرزند بالای ۱۸ سال,-1
415,جمعی از موسسین، مدیران، معلمین و پرسنل مدارس غیر دولتی کشور,88
416,جمعی از جوانان و نوجوانان کشور,62
417,جمعی از شاگردان محافل اخلاقی کشور,-1
418,داوطلبان آزمون کیفیت بخشی ۱۴۰۳,1
419,جمعی از فعالان اقتصادی، مدیران شرکت‌ها، حسابداران، مودیان مالیاتی، مدیران مالی، مشاوران مالیاتی,-1
420,جامعه بزرگ تیراندازان تفنگ بادی (pcp),32
421,جمعی از متخصصان، پزشکان، اساتید و فعالان طب اسلامی ایرانی,-1
422,جمعی از کارمندان، گارگران، فرهنگیان، دانشجویان، فعالان کارگری، مهندسین، وکلا، پزشکان، بازنشستگان و...,10
423,عموم مردم مسلمان و شیعه ایران,18
424,معلمان، فرهنگیان، دانشجو معلمان، سربازان، تعهد دبیری، دبیران، معلم،بازنشستگان فرهنگی، دانشجویان,-1
