,Topic,Count,Name,Representation,Representative_Docs
10,9,79,9_روستای_دهستان_مردم_منطقه,"['روستای', 'دهستان', 'مردم', 'منطقه', 'چاه', 'آباد', 'قدرودخانه', 'شیرآباد', 'صفی', 'فورگ']","['مردم روستای چاه حسینعلی', 'مردم روستای چاه بید', 'مردم روستای حسین\u200cآباد']"
11,10,76,10_بازاریان_بسیجیان_اصناف_دانشگاهیان,"['بازاریان', 'بسیجیان', 'اصناف', 'دانشگاهیان', 'نخبگان', 'فرهنگیان', 'صنعتگران', 'ورزشکاران', 'کسبه', 'هنرمندان']","['آحاد ملت استان اصفهان، فرهنگیان، کشاورزان، دانشگاهیان، فعالان محیط زیست، صنعتگران و بازاریان', 'جمعی از دولتمردان، صنعتگران، بازاریان، اصناف، اتحادیه\u200cها، دانشگاهیان، کارگران، بازنشستگان، هنرمندان، ورزشکاران، و ...', 'اصناف و بازاریان، فرهنگیان و دانشگاهیان، ورزشکاران، فعالان صنعت، کشاورزان و دامداران، جامعه بانوان و جامعه عشایر آباده']"
12,11,72,11_روستای_اهالی_سفلی_طارم,"['روستای', 'اهالی', 'سفلی', 'طارم', 'حسین', 'بخش', 'باوی', 'چوقور', 'دهستان', 'روستاهای']","['اهالی محترم روستاهای بخش چوقور طارم سفلی', 'اهالی روستای حسین آباد', 'اهالی روستاهای دهستان چوقور بخش طارم سفلی استان قزوین']"
13,12,72,12_سراسر_کشور_کل_دستیاران,"['سراسر', 'کشور', 'کل', 'دستیاران', 'شهرداری', 'استانی', 'تخصصی', 'های', 'نانوایی', 'شترمرغ']","['دانش\u200cآموزان سراسر کشور', 'دانشجویان سراسر کشور', 'فرهنگیان سراسر کشور']"
14,13,70,13_دولتی_دولت_خصوصی_کارمندان,"['دولتی', 'دولت', 'خصوصی', 'کارمندان', 'دستگاه', 'کارگران', 'نگهبانان', 'کارکنان', 'بخش', 'ارگان']","['کارکنان و کارگران بخش\u200cهای دولتی و خصوصی', 'عموم مردم و کارمندان دولت و بخش خصوصی', 'کارمندان و کارگران بخش خصوصی و دولتی']"
15,14,68,14_استان_غرب_شمال_خراسان,"['استان', 'غرب', 'شمال', 'خراسان', 'جنوبی', 'شمالی', 'مرکزی', 'شرق', 'استانهای', 'کرمان']","['مالکان اراضی نوار شمالی ، شمال شرق و شمال غرب تهران', 'مردم استان اصفهان و شهرستان\u200cهای غرب خراسان', 'مالکان اراضی نوار شمالی، شمال شرق و شمال غرب تهران']"
16,15,67,15_اقشار_همه_تمامی_مختلف,"['اقشار', 'همه', 'تمامی', 'مختلف', 'تمام', 'آحاد', 'کلیه', 'جامعه', 'دهنده', 'رای']","['همه اقشار', 'همه اقشار جامعه', 'همه اقشار مردم']"
17,16,67,16_شهروندان_اهوازی_همشهریان_آلاشت,"['شهروندان', 'اهوازی', 'همشهریان', 'آلاشت', 'ادریان', 'اراکی', 'بوشهری', 'اسلامشهری', 'سیرجانی', 'کردستانی']","['شهروندان تهران', 'شهروندان', 'شهروندان\u200c']"
18,17,65,17_کارکنان_کارمندان_جمعی_کارگران,"['کارکنان', 'کارمندان', 'جمعی', 'کارگران', 'قانون', 'از', 'تابع', 'نفت', 'شهرداری', 'ادغامی']","['جمعی از کارگران تابع قانون کار', 'جمعی از کارمندان و کارگران', 'جمعی از کارگران و کارمندان']"
19,18,64,18_ملت_ایران_عزیز_شریف,"['ملت', 'ایران', 'عزیز', 'شریف', 'غیور', 'فهیم', 'همه', 'ومظلوم', 'عموم', 'نجیب']","['عموم ملت ایران', 'ملت شریف ایران', 'عموم ملت شریف ایران']"
20,19,62,19_خودرو_نام_ثبت_سایپا,"['خودرو', 'نام', 'ثبت', 'سایپا', 'یکپارچه', 'سامانه', 'خریداران', 'مشتریان', 'خودروی', 'کنندگان']","['ثبت نام کنندگان سایپا و سامانه یکپارچه', 'ثبت نام کنندگان خودرو، متقاضیان خودرو، کاربران سامانه یکپارچه', 'ثبت نام کنندگان سامانه یکپارچه خودرو']"
21,20,61,20_نظام_مهندسی_ساختمان_عضو,"['نظام', 'مهندسی', 'ساختمان', 'عضو', 'سازمان', 'مهندسان', 'مهندسین', 'اعضای', 'طراح', 'استان']","['مهندسین عضو سازمان نظام مهندسی ساختمان کشور', 'مهندسان عضو سازمان\u200cهای نظام مهندسی ساختمان', 'مهندسان عضو سازمان نظام مهندسی ساختمان']"
22,21,58,21_شهرستان_مردم_شهر_انار,"['شهرستان', 'مردم', 'شهر', 'انار', 'هرسین', 'قدس', 'تربت', 'کارزین', 'گرمه', 'دلفان']","['مردم بومی شهرستان هرسین', 'مردم فهیم شهرستان انار', 'مردم شهرستان انار']"
23,22,58,22_فرهنگیان_کارمندان_کارگران_جهادی,"['فرهنگیان', 'کارمندان', 'کارگران', 'جهادی', 'اعم', 'دولت', 'آگاه', 'کارگزاری', 'شناسان', 'مذهبی']","['عموم مردم اعم از فرهنگی ،کارگران،بازاریان و...', 'جمعی از مردم اعم از زن و مرد دامدار، کشاورز،راننده گان کسبه محلی و....', 'کارمندان، کارگران، بازنشستگان و ....']"
24,23,57,23_ایشان_آنان_خانواده_باختگان,"['ایشان', 'آنان', 'خانواده', 'باختگان', 'مال', 'بستگان', 'های', 'آن', 'کارکنان', 'نیرو']","['کارمندان کشور و خانواده ایشان', 'دانشجویان و خانواده ایشان', 'دانشجویان و خانواده\u200cهای ایشان']"
25,24,55,24_دانشگاه_آزاد_دانشجویان_نور,"['دانشگاه', 'آزاد', 'دانشجویان', 'نور', 'پیام', 'جمعی', 'از', 'اساتید', 'کاربردی', 'دکتری']","['جمعی از دانشجویان دانشگاه\u200cهای آزاد اسلامی', 'جمعی از دانشجویان دانشگاه آزاد و اساتید', 'جمعی از دانشجویان دانشگاه آزاد']"
26,25,53,25_نفت_شرکت_حفاری_وزارت,"['نفت', 'شرکت', 'حفاری', 'وزارت', 'ملی', 'صنعت', 'آب', 'ارکان', 'رسمی', 'کارکنان']","['کارمندان شرکت ملی نفت ایران', 'کارکنان و بازنشستگان وزارت نفت', 'کارکنان وزارت نفت']"
27,26,53,26_اهالی_ساکنان_شهرک_مجتمع,"['اهالی', 'ساکنان', 'شهرک', 'مجتمع', 'روستا', 'منطقه', 'شهریار', 'روستاها', 'ساکن', 'محله']","['ساکنان روستا', 'اهالی شهرک پیام', 'اهالی منطقه']"
28,27,52,27_بیماران_خاص_مبتلا_پیوند,"['بیماران', 'خاص', 'مبتلا', 'پیوند', 'صعب', 'العلاج', 'سرطان', 'خانواده', 'اس', 'دیابت']","['بیماران خاص و صعب\u200cالعلاج و خانواده ایشان', 'بیماران خاص و خانواده ایشان', 'بیماران خاص']"
29,28,52,28_رشته_التحصیلان_فارغ_آموختگان,"['رشته', 'التحصیلان', 'فارغ', 'آموختگان', 'مهندسی', 'دانشجویان', 'ریاضی', 'هوشبری', 'مقاطع', 'خلبانی']","['دانشجویان و فارغ\u200cالتحصیلان رشته\u200cهای علوم پایه', 'فارغ\u200cالتحصیلان و دانشجویان رشته مهندسی صنایع', 'دانشجویان و فارغ\u200cالتحصیلان رشته حقوق سراسر کشور']"
30,29,50,29_روستاهای_اطراف_روستای_همجوار,"['روستاهای', 'اطراف', 'روستای', 'همجوار', 'اهالی', 'شهرستان', 'شهرهای', 'کمیجان', 'سیرجان', 'دهستان']","['مردم روستای زیارت و روستاهای اطراف', 'عموم مردم شهرستان شهربابک، بخش\u200cها و روستاهای اطراف', 'اهالی روستای زیادآباد و روستاهای اطراف']"
31,30,47,30_شهرستان_ارسنجان_فردوس_جمعی,"['شهرستان', 'ارسنجان', 'فردوس', 'جمعی', 'از', 'تنکابن', 'مردم', 'بندر', 'شهروندان', 'رابر']","['جمعی از مردم شهرستان فردوس', 'جمعی از مردم شهرستان ارسنجان فارس', 'جمعی از مردم حقیقت جو و عدالت خواه حوزه انتخابیه مرودشت، ارسنجان و پاسارگاد']"
32,31,47,31_عموم_مردم_دوچرخه_ورزش,"['عموم', 'مردم', 'دوچرخه', 'ورزش', 'روانشناسان', 'خریداران', 'جدیدالورود', 'هواشناسان', 'ورزشکاران', 'سوار']","['فرهنگیان و عموم مردم', 'کارمندان و عموم مردم', 'دانشجویان و عموم مردم']"
33,32,46,32_جامعه_پرستاری_ایران_کشور,"['جامعه', 'پرستاری', 'ایران', 'کشور', 'داروسازان', 'دانشجویی', 'آزمایشگاهی', 'بزرگ', 'pcp', 'بادی']","['جامعه علوم پزشکی کشور', 'جامعه فرهنگیان ایران', 'جامعه پزشکی کشور']"
34,33,46,33_رانندگان_تاکسی_شهری_برون,"['رانندگان', 'تاکسی', 'شهری', 'برون', 'کامیون', 'استیجاری', 'سواری', 'اینترنتی', 'خودمالک', 'کرایه']","['رانندگان سواری کرایه کل کشور (تاکسی های برون شهری)', 'رانندگان تاکسی', 'رانندگان برون\u200cشهری']"
35,34,45,34_فاز_مالکین_مهر_پردیس,"['فاز', 'مالکین', 'مهر', 'پردیس', 'زمین', 'مالکان', 'مسکن', '۱۱', 'مسکونی', 'اراضی']","['ساکنین مسکن مهر فاز ۱۱ پردیس استان تهران', 'ساکنین مسکن مهر فاز ۱۱ پردیس', 'ساکنان مسکن مهر فاز ۸ پردیس']"
36,35,45,35_آموزان_دانش_اولیا_والدین,"['آموزان', 'دانش', 'اولیا', 'والدین', 'اولیاء', 'معلمان', 'اولیای', 'دبیران', 'کنکوری', 'آموزگاران']","['دانش\u200cآموزان، اولیا و فرهنگیان', 'معلمان، دانش\u200cآموزان و اولیا', 'دانش آموزان']"
37,36,44,36_پزشکی_علوم_دانشگاه_دانشجویان,"['پزشکی', 'علوم', 'دانشگاه', 'دانشجویان', 'دانشکده', 'گناباد', 'شیراز', 'پرداز', 'شهریه', 'پرستاری']","['دانشجویان دانشگاه علوم پزشکی اصفهان', 'دانشجویان دانشگاه علوم پزشکی شیراز', 'دانشجویان پزشکی دانشگاه علوم پزشکی اصفهان']"
38,37,43,37_علوم_پزشکی_پرسنل_دانشگاه,"['علوم', 'پزشکی', 'پرسنل', 'دانشگاه', 'اهواز', 'شرکتی', 'نیروهای', 'ایرانشهر', 'شیراز', 'کردستان']","['دانشجویان علوم پزشکی', 'دانشجویان علوم پزشکی \u200c', 'دانشجویان دانشگاه\u200cهای علوم پزشکی']"
39,38,43,38_آزاد_واحد_دانشگاه_اسلامی,"['آزاد', 'واحد', 'دانشگاه', 'اسلامی', 'دانشجویان', 'الکترونیکی', 'کرمانشاه', 'مشهد', 'رشت', 'دانشجوبان']","['دانشجویان دانشگاه آزاد واحد کرمانشاه', 'دانشجویان و اساتید دانشگاه آزاد اسلامی واحد تهران جنوب', 'دانشجویان دانشگاه آزاد']"
40,39,42,39_حمل_نقل_رانندگان_جاده,"['حمل', 'نقل', 'رانندگان', 'جاده', 'کامیونداران', 'ونقل', 'شرکتهای', 'سنگین', 'ای', 'عمومی']","['رانندگان سنگین ناوگان حمل و نقل عمومی کشور', 'جمعی از شرکت\u200cهای حمل و نقل کالای جاده\u200cای ، کارمندان شرکت\u200cها ، رانندگان کامیون و کامیونداران', 'رانندگان بخش حمل و نقل جاده\u200cای']"
41,40,42,40_دکتری_علامه_آزاد_طباطبایی,"['دکتری', 'علامه', 'آزاد', 'طباطبایی', 'دانشگاه', 'روانشناسی', 'ارشد', 'دانشجویان', 'مقطع', 'کارشناسی']","['دانشجویان دکتری دانشگاه آزاد اسلامی', 'دانشجویان دکتری دانشگاه \u200c\u200c\u200c\u200c\u200cآزاد اسلامی', 'دانشجویان دکتری دانشگاه آزاد']"
42,41,42,41_پایه_نهم_آموزان_دوازدهم,"['پایه', 'نهم', 'آموزان', 'دوازدهم', 'دبیرستان', 'اول', 'متوسطه', 'دانش', 'ششم', 'اولیای']","['دانش\u200cآموزان پایه\u200cهای دوازدهم و نهم', 'اولیا دانش\u200cآموزان پایه نهم و فرهنگیان و دبیران دبیرستان دوره اول', 'دانش\u200cآموزان پایه نهم و دوازدهم']"
43,42,41,42_اساتید_دانشگاهیان_علمیه_خواهران,"['اساتید', 'دانشگاهیان', 'علمیه', 'خواهران', 'طلاب', 'دانشجویان', 'هایشان', 'مذاهب', 'حضرت', 'زاد']","['اساتید و دانشجویان', 'دانشجویان و اساتید دانشگاه', 'اساتید و دانشگاهیان']"
44,43,41,43_هنرمندان_موسیقی_هنر_فرهنگ,"['هنرمندان', 'موسیقی', 'هنر', 'فرهنگ', 'هنردوستان', 'تئاتر', 'فیلم', 'رسانه', 'اصحاب', 'اهالی']","['هنرمندان و هنر دوستان', 'اهالی هنر و موسیقی', 'هنرمندان و دوستداران هنر']"
45,44,41,44_صنف_املاک_فروشندگان_صنعت,"['صنف', 'املاک', 'فروشندگان', 'صنعت', 'جواهر', 'طلا', 'مشاورین', 'تلفن', 'همراه', 'فعالان']","['صنف فروشندگان تلفن همراه', 'صنف مشاوران املاک و خودرو', 'صنف مشاورین املاک']"
46,45,41,45_معلمان_اساتید_آموزان_دانش,"['معلمان', 'اساتید', 'آموزان', 'دانش', 'دانشجویان', 'مخاطبین', 'دبیران', 'مجلس', 'هنرآموزان', 'هنرجویان']","['دانشجویان، فرهنگیان و دانش\u200cآموزان', 'دانشجویان، معلمان و اساتید دانشگاه', 'دانش\u200cآموزان، دانشجویان، معلمان و اساتید']"
47,46,40,46_پرورش_آموزش_استثنایی_نیروهای,"['پرورش', 'آموزش', 'استثنایی', 'نیروهای', 'خدماتی', 'معلمان', 'خدمتگزاران', 'سرایداران', 'مهرآفرین', 'اداره']","['کارکنان آموزش و پرورش', 'فرهنگیان آموزش و پرورش', 'عموم مردم، بازنشستگان آموزش و پرورش و کارمندان آموزش و پرورش']"
48,47,40,47_کارگران_سایر_کم_اقشار,"['کارگران', 'سایر', 'کم', 'اقشار', 'بازنشستگان', 'کارمندان', 'مستاجرین', 'برخوردار', 'حمایتی', 'درآمد']","['کارمندان، کارگران، جوانان و سایر اقشار مردم', 'کارمندان، کارگران و سایر اقشار جامعه', 'کارمندان، کارگران و سایر اقشار مردم']"
49,48,39,48_روستای_ساکنین_اهالی_سرخکلاء,"['روستای', 'ساکنین', 'اهالی', 'سرخکلاء', 'محله', 'سوادکوه', 'کارون', 'کثیری', 'جمع', 'کوجووار']","['جمعی از ساکنین محله کوجووار و اهالی روستای باغ معروف', 'جمع کثیری از زمین دارن منطقه کوی نخلستان شهرستان کارون', 'جمعی از مردم منطقه سرخکلاء زیراب سوادکوه مازندران و روستای سرخکلاء تپه سوادکوه مازندران']"
50,49,39,49_مهندسین_منابع_طبیعی_کشاورزی,"['مهندسین', 'منابع', 'طبیعی', 'کشاورزی', 'ناظر', 'مکانیک', 'مهندسان', 'شهرساز', 'برق', 'نقشه']","['مهندسین کشاورزی و منابع طبیعی و محیط زیست', 'مهندسین کشاورزی و منابع طبیعی', 'جمعی از مهندسین ناظر کشاورزی و منابع طبیعی']"
51,50,39,50_هواداران_استقلال_باشگاه_فوتبال,"['هواداران', 'استقلال', 'باشگاه', 'فوتبال', 'تیم', 'هوادارن', 'پرسپولیس', 'ورزشی', 'طرفداران', 'سپیدرود']","['هواداران باشگاه استقلال ایران', 'هواداران باشگاه استقلال', 'هواداران تیم استقلال ، هواداران فوتبال']"
52,51,38,51_شهروندان_ایذه_جمعی_از,"['شهروندان', 'ایذه', 'جمعی', 'از', 'ایلام', 'آشار', 'بروجردی', 'ایلامیان', 'یکی', 'بهشهری']","['جمعی از شهروندان تهران', 'جمعی از شهروندان منطقه ۱، ۳ و ۴', 'جمعی از شهروندان']"
53,52,37,52_علمی_هیئت_اعضای_هیات,"['علمی', 'هیئت', 'اعضای', 'هیات', 'هیأت', 'نور', 'دانشگاه', 'پیام', 'غیرهیئت', 'علوم']","['اعضای هیئت \u200cعلمی دانشگاه آزاد', 'اعضای هیئت علمی', 'اعضای هیئت\u200c علمی دانشگاه آزاد']"
54,53,36,53_التحصیلان_فارغ_رشته_جغرافیا,"['التحصیلان', 'فارغ', 'رشته', 'جغرافیا', 'تغذیه', 'مدیریت', 'آموختگان', 'علوم', 'حقوق', 'مهندسی']","['فارغ\u200cالتحصیلان رشته حقوق', 'فارغ\u200cالتحصیلان رشته\u200cهای مهندسی', 'فارغ\u200cالتحصیلان رشته علوم اجتماعی']"
55,54,36,54_تولیدکنندگان_تولید_کنندگان_کارآفرینان,"['تولیدکنندگان', 'تولید', 'کنندگان', 'کارآفرینان', 'صادرکنندگان', 'محصولات', 'تجار', 'کشاورزی', 'سازندگان', 'فرش']","['تامین کنندگان تجهیزات و ملزومات پزشکی، اعم از تولید کنندگان و وارد کنندگان', 'کارآفرینان و تولید کنندگان و فعالان اقتصادی', 'کارآفرینان، تولید کنندگان و کشاورزان']"
56,55,36,55_دانشگاه_دانشجویان_سلمان_سبزواری,"['دانشگاه', 'دانشجویان', 'سلمان', 'سبزواری', 'کازرون', 'فارسی', 'حکیم', 'کاشان', 'زینب', 'سینا']","['دانشجویان دانشگاه حکیم سبزواری', 'دانشجویان دانشگاه سلمان فارسی کازرون', 'داشجویان دختر دانشگاه سلمان فارسی کازرون']"
57,56,35,56_جامعه_معلولین_داروسازان_مهمانداران,"['جامعه', 'معلولین', 'داروسازان', 'مهمانداران', 'مترجمان', 'مورخین', 'تحول', 'تکنولوژیست', 'ضایعه', 'افغان']","['جامعه پزشکی', 'جامعه فرهنگیان', 'جامعه بازنشستگان']"
58,57,34,57_آزمون_داوطلبان_استخدامی_۱۴۰۳,"['آزمون', 'داوطلبان', 'استخدامی', '۱۴۰۳', 'آموزگاری', 'کنکور', 'داوطلبین', 'جمع', 'کثیری', 'دستیاری']","['جمعی از داوطلبان آزمون', 'جمع کثیری از داوطلبین آزمون استخدامی آموزگاری ۱۴۰۳', 'جمعی از داوطلبان آزمون استخدامی']"
59,58,33,58_مردم_جمعی_تکاب_بااصالت,"['مردم', 'جمعی', 'تکاب', 'بااصالت', 'بهمئی', 'بیله', 'از', 'قطرویه', 'بسطام', 'بشاگرد']","['جمعی از مردم شریف بسطام', 'جمعی از مردم بیله سوار', 'جمعی از مردم بااصالت بشاگرد']"
60,59,33,59_کاربران_دیجی_سایت_کالا,"['کاربران', 'دیجی', 'سایت', 'کالا', 'اینترنت', 'فروشگاه', 'باسلام', 'تیک', 'تلگرام', 'کلمبوس']","['کاربران اینترنت در ایران', 'کاربران اینترنت', 'کاربران اینترنت ایران']"
61,60,31,60_مسکن_ملی_متقاضیان_نهضت,"['مسکن', 'ملی', 'متقاضیان', 'نهضت', 'پروژه', 'اقدام', 'زنجان', 'بهارستان', 'مستاجران', 'کشیدگان']","['جمعی از متقاضیان نهضت ملی مسکن', 'کشاورزان، متقاضیان مسکن ملی', 'متقاضیان مسکن ملی']"
62,61,30,61_پرورش_استخدامی_آموزش_آزمون,"['پرورش', 'استخدامی', 'آموزش', 'آزمون', 'ماده', 'استخدام', 'مهارت', 'شدگان', 'پذیرفته', 'داوطلبان']","['داوطلبین آزمون استخدامی آموزش و پرورش', 'داوطلبان استخدامی آموزش و پرورش', 'داوطلبان آزمون استخدامی آموزش و پرورش']"
63,62,30,62_جوانان_نوجوانان_سنت_اهل,"['جوانان', 'نوجوانان', 'سنت', 'اهل', 'سرکور', 'اجتماع', 'جمعی', 'از', 'فرهنگیان', 'دانشحویان']","['جمعی از جوانان و نوجوانان کشور', 'جمعی از جوانان و نوجوانان', 'جمعی از خانواده\u200cها و جوانان و نوجوانان']"
64,63,30,63_کارشناسی_آخر_دکتری_ترم,"['کارشناسی', 'آخر', 'دکتری', 'ترم', 'مقطع', 'تکمیلی', 'ارشد', 'دوره', '۹۶', 'تحصیلات']","['متقاضیان مقطع کارشناسی ارشد', 'دانشجویان مقطع کارشناسی', 'دانشجویان کارشناسی ارشد']"
65,64,30,64_آباد_روستاهای_درودزن_براندود,"['آباد', 'روستاهای', 'درودزن', 'براندود', 'ارزوئیه', 'رخ', 'ابرج', 'رامجرد', 'سنگان', 'علی']","['شهروندان شهر سنگان و خواف، برآباد، نشتیفان، قاسم آباد زوزن، بهدادین، نیازآباد، مژن آباد، مهرآباد، خردگرد و نیروهای شاغل در معدن سنگان', 'اهالی محترم زنگی آباد، کاظم آباد، فرح آباد، کهنوج مدیم، رحیم آباد و...', 'اهالی شهر طبس مسینا و گزیگ و روستاهای علی\u200cآباد، محمدآباد، فیض\u200cآباد، اسپید، احمدآباد، خرمک، اسلام\u200cآباد، دستگرد، آواز، نصرالدین، آبگرم، گاویچ و...']"
66,65,29,65_مالباختگان_حواله_داران_آذویکو,"['مالباختگان', 'حواله', 'داران', 'آذویکو', 'شاهین', 'سایت', 'نواندیشان', 'اوربیت', 'امانت', 'خوردگان']","['مالباختگان آذویکو', 'مالباختگان این شرکت', 'مالباختگان']"
67,66,29,66_کسب_کارهای_آنلاین_گیمرها,"['کسب', 'کارهای', 'آنلاین', 'گیمرها', 'کاربران', 'محتوا', 'فناور', 'استارت', 'استارتاپی', 'بنیان']","['مدیران و کارکنان کسب و کارهای آنلاین', 'کسب و کارهای آنلاین', 'کارکنان کسب\u200cو\u200cکارهای آنلاین و کاربران اینترنت']"
68,67,29,67_سهامداران_خرد_هپکو_متضرر,"['سهامداران', 'خرد', 'هپکو', 'متضرر', 'بورس', 'سهامدار', 'پردیسبان', 'فعلی', 'شلرد', 'کچینی']","['سهامداران خرد و بازنشستگان', 'سهامداران خرد', 'سهامداران']"
69,68,29,68_عموم_ازنا_وجامعه_شاهجهان,"['عموم', 'ازنا', 'وجامعه', 'شاهجهان', 'کشیک', 'هریرز', 'مردم', 'تویسرکان', 'خرامه', 'فاینانس']","['عموم مردمان ولایت شاهجهان', 'عموم مردم شریف ازنا', 'عموم مردم ازنا']"
70,69,28,69_شهرستان_گچساران_باشت_عموم,"['شهرستان', 'گچساران', 'باشت', 'عموم', 'نجف', 'همه', 'گلشن', 'کلیایی', 'خوروبیابانک', 'تیکمه']","['عموم مردم شهرستان نجف\u200cآباد', 'همه مردم شهرستان گچساران', 'آحاد مردم گچساران و باشت']"
71,70,27,70_ایران_ملت_اسلامی_جمهوری,"['ایران', 'ملت', 'اسلامی', 'جمهوری', 'دلسوز', 'وجدان', 'کف', 'ازملت', 'انتخاب', 'چهاردهم']","['جمعی از ملت ایران', 'جمعی از ملت عزیز ایران اسلامی', 'جمعی از مردم ایران اسلامی']"
72,71,27,71_ساکنین_شهرک_مالکین_اندیشه,"['ساکنین', 'شهرک', 'مالکین', 'اندیشه', 'شهر', 'توحید', 'گلدشت', 'مرق', '۳۰۰۰', 'موگویی']","['مالکین و ساکنین', 'ساکنین شهر', 'ساکنین شهرک فرهنگیان']"
73,72,26,72_سهامداران_پدیده_شرکت_شاندیز,"['سهامداران', 'پدیده', 'شرکت', 'شاندیز', 'سیمان', 'سهام', 'خرم', 'توس', 'گذاری', 'سهامدار']","['سهامداران شرکت پدیده', 'سهامداران مردمی شرکت پدیده شاندیز', 'سهامداران شرکت پدیده شاندیز']"
74,73,26,73_زنان_بانوان_کارمند_مردان,"['زنان', 'بانوان', 'کارمند', 'مردان', 'خانم', 'سرپرست', 'خانوار', 'شاغل', 'دار', 'خانه']","['زنان ایران', 'جامعه زنان و مردان شاغل', 'زنان شاغل']"
75,74,25,74_مهاجرین_افغانستانی_مقیم_ایرانی,"['مهاجرین', 'افغانستانی', 'مقیم', 'ایرانی', 'جوانان', 'افغانستان', 'ایرانیان', 'لرزبان', 'برزیل', 'کجور']","['مهاجرین افغانستانی ساکن ایران', 'مهاجرین مقیم ایران', 'مهاجرین افغانستانی']"
76,75,25,75_عموم_کاکی_اهواز_لرستان,"['عموم', 'کاکی', 'اهواز', 'لرستان', 'گیلان', 'بویژه', 'شهروندان', 'فرهیخته', 'مردم', 'رفسنجان']","['عموم شهروندان لرستان', 'عموم مردم استان', 'عموم هموطنان بویژه شهروندان خوزستان']"
77,76,25,76_بازار_سرمایه_بورس_سهامداران,"['بازار', 'سرمایه', 'بورس', 'سهامداران', 'گذاران', 'فرابورس', 'متضرر', 'سهام', 'سهامی', 'سدید']","['فعالان بازار سرمایه', 'عموم سهامداران و فعالان بازار سرمایه', 'سهامداران بازار سرمایه']"
