,Target,Topics
77,وزیر محترم ورزش و جوانان، با سلام، احتراماً به استحضار می‌رساند که وضعیت مدیریت در حوزه ورزش شنا به‌,-1
78,رییس‌جمهور محترم با سلام؛ ما پرسنل وزارت نفت خواستار برداشتن سقف حقوق که خواسته به حق طبق مقررات حقو,-1
79,مجمع محترم نمایندگان استان سیستان و بلوچستان وزیر محترم آموزش و پرورش با سلام و عرض ادب، با توجه به ,-1
80,ریاست محترم سازمان ثبت اسناد و املاک کشور با سلام و عرض ادب؛ احتراماً به استحضار عالی می‌رساند، همان,78
81,ریاست محترم جمهور ریاست محترم مجلس با سلام؛ نظر به تأمین مستقیم منابع مالی سهم ارزی دارو و شیرخشک فر,3
82,بسم‌الله الرحمن الرحیم رئیس محترم مجلس شورای اسلامی رئیس محترم جمهور نمایندگان محترم مجلس شورای اسلا,-1
83,وزیر محترم آموزش و پرورشجناب آقای دکتر علیرضا کاظمی با سلام و احترام؛ ضمن تبریک به مناسبت انتخاب جنا,6
84,وزیر محترم میراث فرهنگی،گردشگری و صنایع دستیجناب سید رضا صالحی امیری با سلام؛ ضمن تبریک رای اعتماد م,19
85,به نام خدا مقام عالی وزارت جهاد کشاورزیجناب آقای دکتر نوری قزلجه با سلام، خواهشمند است با عنایت به ش,167
86,ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر مسعود پزشکیان وزیر محترم تعاون، کار و رفاه اجتماعیجناب,155
87,رئیس جمهور محترم جمهوری اسلامی ایران وزیر محترم بهداشت، درمان و آموزش پزشکی با سلام و عرض ادب؛ احترا,-1
88,وزیر محترم آموزش و پرورش با سلام و احترام؛ به استحضار می‌رساند آزمونی که تحت عنوان آزمون ماده ۲۸ قرا,4
89,سرکار خانم مهندس صادق وزیر محترم راه و شهرسازی با سلام، احتراماً به اطلاع می‌رساند وضعیت جاده‌های کش,8
90,بسم‌الله الرحمن الرحیم سران محترم سه قوه با عرض سلام و احترام، احتراما به اطلاع می‌رساند که تفاوت فا,-1
91,بزرگان، فرهیختگان و دلسوزان قوم بزرگ لر و بختیاری همانطور که می‌دانید، امروزه به‌خاطر گسترش شهرنشینی,75
92,ریاست محترم جمهور وزیر محترم جهاد کشاورزی وزیر محترم بهداشت و آموزش پزشکی ریاست محترم سازمان محیط زی,-1
93,جناب دکتر سیمایی صراف وزیر محترم علوم، تحقیقات و فناوری با سلام و عرض تحیت، بدینوسیله به استحضار می‌,7
94,جناب آقای دکتر علیرضا کاظمیوزیر محترم آموزش و پرورش سلام امضاکنندگان این نامه خواستار رسیدگی به مشکل,6
95,وزیر محترم آموزش و پرورش با سلام و احترام؛ با توجه به عدم اجرای تعهدات بیمه دانا با فرهنگیان آموزش و,4
96,رئیس جمهور محترم وزیر محترم ورزش با سلام؛ با توجه به اتفاقات اخیر فوتبال ایران و در رأس کار رئیس فدر,-1
97,ریاست محترم دانشگاه پیام نور با سلام؛ احتراما به اطلاع می‌رساند با توجه به اهداف ثبت‌شده دانشگاه پیا,-1
98,ریاست دانشگاه پیام‌نور کل کشوردکتر ابراهیم تقی زاده با سلام؛ اینجانب اعتراض خود را به جهت برگزاری حض,12
99,وزیر ورزش محترم با سلام و عرض ادب؛ ما هواداران پرسپولیس با امضای این کارزار مخالفت شدید خود را جهت ا,20
100,ریاست محترم سازمان نظام روانشناسی ایران ریاست محترم سازمان بیمه تأمین اجتماعی ریاست محترم سازمان ادا,15
101,رئیس جمهور محترم کشورجناب آقای دکتر پزشکیان با سلام؛ اینجانبان، کارکنان ایثارگر موظفی سال‌های ۱۳۵۹ ت,0
102,مسئولین محترم فرهنگی با سلام، احتراما به اطلاع می‌رساند در فرهنگ متمدن ایران اسلامی گاهی بدعت‌ها و س,-1
103,رئیس‌جمهور محترم با سلام؛ همانطور که مستحضرید؛ یکی از مهم‌ترین سازمان‌هایی که به دلیل نقش آن در سلام,-1
104,ریاست محترم جمهوری اسلامی ایران ریاست محترم مجلس شورای اسلامی ریاست محترم قوۀ قضائیهبا درود و احترام,80
105,بسم الله الرحمن الرحیم جناب آقای دکتر مسعود پزشکیان رئیس جمهور محترم کشور ایران و ریاست محترم شورای ,116
106,بنام خداوند علم و خرد رئیس محترم شورای عالی امنیت ملی جمهوری اسلامی ایرانجناب آقای دکتر مسعود پزشکیا,158
107,مقام محترم وزارت ورزش و جوانان جمهوری اسلامی ایران با سلام؛ با احترام، امضاکنندگان زیر که اکثرا ورزش,31
108,بسم الله الرحمن الرحیم ریاست محترم دانشگاه علوم پزشکی هوشمند معاونت محترم آموزشی دانشگاه علوم پزشکی ,-1
109,ریاست محترم جمهورجناب دکتر پزشکیان با سلام؛ ما جمعی از اهالی شهرستان کارون اهواز، محله نخلستان که زم,-1
110,نمایندگان محترم مجلس شورای اسلامی با سلام و احترام اینک در لحظه‌ای حساس از تاریخ ایران عزیزمان قرار ,-1
111,وزیر محترم نیرو با سلام و احترام به استناد جزء ۳ بند ب ماده ۱۰۶ قانون برنامه هفتم توسعه که اشعار می‌,-1
112,رئیس محترم جمهوری اسلامی ایرانجناب آقای دکتر پزشکیان با سلام و احترام؛ با آرزوی موفقیت برای برآورده ,0
113,بسمه تعالی جناب آقای دکتر پزشکیانریاست محترم جمهور سلام علیکم، احتراماً به استحضار می‌رساند با توجه ,-1
114,به نام خدا ریاست محترم دانشگاه آزاد اسلامیجناب آقای دکتر محمد مهدی طهرانچی با سلام؛ ما جمعی از دانشج,-1
115,باسمه تعالی جناب آقای دکتر مسعود پزشکیانریاست محترم جمهوری اسلامی ایران با سلام و صلوات بر محمد و آل,48
116,بسم الله الرحمن الرحیم رهبر فرزانه معزز انقلاب اسلامی ایران حضرت آیت الله العظمی حاج آقای سید علی خا,-1
117,ریاست محترم قوه قضائیه ریاست محترم مجلس شورای اسلامی ریاست کانون‌ وکلای دادگستری اسکودا ریاست مرکز م,-1
118,بسمه تعالی ریاست محترم جمهوری اسلامی ایران معاون اول محترم ریاست جمهوری اسلامی ایران وزیر محترم بهدا,-1
119,به نام خدا رییس محترم‌جمهورجناب آقای دکتر پزشکیان سلام علیکم؛ با احترام، ما جمعی از دانشگاهیان، نخبگ,0
120,وزیر محترم تعاون، کار و رفاه اجتماعی با سلام، احتراما به اطلاع می‌رساند حدود سه سال است که حقوق بازن,26
121,مردم شریف ایران زمین نمایندگان محترم مجلس شورای اسلامی با عرض سلام و احترام اینجانبان جمعی از اعضای ,3
122,رئیس محترم جمهور وزیر محترم کشور سلام و احترام؛ اینجانبان جمعی از علاقه‌مندان به یادگیری زبان و فرهن,-1
123,وزیر محترم جهاد کشاورزیرئیس محترم سازمان منابع طبیعیرئیس محترم سازمان محیط زیست آتش زدن بقایای محصول,-1
124,ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر پزشکیان با سلام و احترام؛ همان‌طور که مستحضرید، شهردار,0
125,وزیر محترم کشور با سلام، احتراما به اطلاع می‌رساند نصب برچسب‌های تبلیغاتی بر درب و دیوار منازل، و هم,-1
126,جناب آقای دکتر پزشکیان ریاست محترم جمهوری اسلامی ایران با سلام؛ با توجه به اینکه وجوه صندوق بازنشستگ,0
127,بسم الله الرحمن الرحیم رئیس محترم سازمان بنیاد شهید و امور ایثارگران نمایندگان محترم مجلس سلام علیکم,81
128,مدیر عامل محترم بانک سپه جناب آقای آیت ابراهیمی احتراماً به استحضار می‌رساند، با توجه به مراجعات همک,149
129,رئیس جمهور محترم سلام احتراماً به استحضار می‌رساند که تعداد زیادی از همکاران آموزش و پرورش، از جمله ,-1
130,به نام خدا جناب آقای علی فرهادی معاون محترم برنامه‌ریزی و توسعه منابع با عرض سلام و احترام خدمت ما د,-1
131,هو القاضی جناب آقای دکتر قالیباف رئیس محترم مجلس شورای اسلامی نمایندگان محترم مجلس شورای اسلامی درود,70
132,بسمه تعالی ریاست محترم باشگاه دانش‌پژوهان جوان جناب آقای سید رضا حسینی با سلام، احتراما ما امضاکنندگ,-1
133,رئیس و نمایندگان محترم مجلس شورای اسلامی با سلام و احترام، احتراما به اطلاع می‌رساند مطالبات مدنی پر,3
134,رئیس محترم جمهوررئیس محترم مجلسمردم عزیز ایران و جامعه مهندسین عمران با سلام ادغام وزارت‌خانه‌های را,37
135,رئیس جمهور محترمجناب آقای دکتر پزشکیان با سلام و احترام؛ پیشنهاد می‌شود برای ماندگارتر شدن و اعتلای ,0
136,رئیس جمهور و رئیس محترم شورای عالی انقلاب فرهنگی وزیر محترم علوم، تحقیقات و فناوری وزیر محترم بهداشت,96
137,وزیر محترم راه و شهرسازی وزیر محترم اقتصاد و دارایی (سازمان امور مالیاتی کشور)، رئیس محترم مجلسرئیس ,-1
138,جناب آقای دکتر مسعود پزشکیان ریاست محترم جمهوری اسلامی ایران با عرض ادب و احترام، اینجانب به عنوان ی,0
139,ریاست محترم جمهوری وزیر محترم آموزش و پرورش با سلام؛ طبق فرموده مقام معظم رهبری مبنی بر بکارگیری نیر,4
140,بسم الله الرحمن الرحیم رئیس دفتر محترم مقام معظم رهبریرئيس محترم جمهور وزیر محترم امور اقتصادی و دار,-1
141,ریاست محترم بنیاد شهید با سلام و عرض ادب، احتراما خواهشمند است از جناب آقای حاج محمود پاکدل، معاون ت,-1
142,ریاست محترم جمهور جناب آقای دکتر پزشکیان با سلام و احترام به استحضار می‌رساند آینده شغلی ده‌ها هزار ,0
143,وزیر محترم کار، تعاون و رفاه اجتماعی با سلام و احترام، علیرغم مشقت‌های کارگران ساختمانی کشور و دست و,26
144,جناب آقای دکتر پزشکیان رئیس جمهور منتخب ملت شریف ایران به استحضار می‌رساند طی کمپین انتخاباتی جنابعا,-1
145,رئیس‌جمهور محترم با سلام؛ با توجه به انجام رتبه‌بندی ناقص در دولت قبلی، خواهشمندم دستور بفرمایید باز,10
146,جناب آقای دکتر مسعود پزشکیانریاست محترم جمهوری اسلامی ایران با سلام؛ احتراما به اطلاع می‌رساند، ما ج,0
147,رئیس محترم سازمان برنامه و بودجه کشور با سلام، احتراما به اطلاع می‌رساند که در حال حاضر اضافه‌کاری و,-1
148,ریاست جمهوری اسلامی ایرانجناب آقای دکتر مسعود پزشکیان وزیر محترم ارتباطات و فناوری اطلاعات دولت چهار,-1
149,وزیر محترم آموزش و پرورش اعضای محترم هیئت مرکزی گزینش وزارت آموزش و پرورش رئیس محترم سازمان اداری و ,96
150,رئیس جمهور محترم و هیئت محترم دولت سلام با احترام به استحضار رئیس جمهور محترم جناب آقای دکتر پزشکیان,0
151,بسمه تعالی دکتر حسن بختیاری سرپرست دانشگاه علوم پزشکی هوشمند و معاونت آموزشی دانشگاه علوم پزشکی هوشم,-1
152,رییس محترم سازمان شهرداری‌ها و دهیاری‌های کشور جناب آقای دکتر مهدی سلیمی شهردار محترم اصفهان جناب آق,156
153,هیات مدیره محترم سازمان نظام مهندسی ساختمان استان قزوین با سلام و احترام؛ همان‌گونه که مستحضرید، نظا,53
154,ریاست محترم جمهور با سلام؛ اینجانبان کارکنان وزارت نفت نسبت به قانون پرداخت سقف حقوق معترض هستیم و ا,-1
155,به نام خداوند دانا و توانا ریاست محترم جمهور با عرض ادب به پیشگاه حضرت صاحب‌الامر (عج) و عرض خسته‌نب,-1
156,ریاست جمهوری محترم جناب آقای دکتر پزشکیان وزیر محترم آموزش و پرورش با سلام؛ احتراما به اطلاع می‌رسان,-1
157,بنام خدا نمایندگان محترم مجلس شورای اسلامی با عرض سلام؛ به‌عنوان رزمنده ساک به دست دفاع مقدس در قالب,-1
158,بسم الله الرحمن الرحیم ریاست محترم دانشگاه علوم پزشکی هوشمند معاونت محترم آموزشی دانشگاه علوم پزشکی ,-1
159,بسمه تعالی ریاست محترم جمهور با سلام؛ به استحضار می‌رساند، ما جمعی از کارنامه سبزهای آزمون استخدامی ,-1
160,بسمه تعالی ریاست محترم بنیاد شهیددکتر سعید اوحدی سلام علیکم؛ احتراما به استحضار حضرتعالی می‌رساند با,-1
161,رئیس جمهور محترمجناب آقای دکتر پزشکیان سلام با توجه به اهمیت عدالت اجتماعی و لزوم رعایت همسان‌سازی ح,-1
162,وزیر محترم آموزش و پرورش رئیس محترم سازمان اداری و استخدامی با سلام و عرض ادب، به استحضار می‌رساند ب,4
163,وزیر محترم آموزش و پرورش سلام با توجه به: ۱- سلیقه‌ای نمره دادن ارزیاب‌ها در مسیر فرایند ارزیابی تکم,10
164,وزیر محترم آموزش و پرورش رئیس محترم سازمان امور اداری و استخدامی با سلام و عرض ادب با توجه به اینکه ,4
165,بسم الله الرحمن الرحیم جناب آقای دکتر مسعود پزشکیان ریاست محترم جمهوری اسلامی ایران با سلام و احترام,116
166,ریاست محترم مجلس با سلام؛ با توجه به شرایط بد اقتصادی، کاهش نقدینگی، کاهش ارزش پول و اینکه کسی حاضر ,-1
167,رئیس و نمایندگان محترم مجلس شورای اسلامی سلام ما امضاکنندگان ذیل این کارزار حمایت همه‌جانبه خود را ا,-1
168,رئیس محترم سازمان نظام روانشناسی سلام اینجانبان جمعی از آزمون‌دهندگان به سختی سوالات و مدت زمان کم ب,85
169,رئیس و نمایندگان محترم مجلس سلام ما امضاکنندگان ذیل این کارزار حمایت همه‌جانبه خود را از جناب آقای د,20
170,وزیر محترم وزارت آموزش و پرورش با سلام و عرض تسلیت به مناسبت اربعین حسینی با توجه به ظرفیت‌های خالی ,4
171,ریاست محترم شرکت آرین پارس موتور با سلام؛ شرکت محترم آرین پارس موتور، به تجویز ماده ۱۵۶ قانون آیین د,33
172,بسمه تعالی جناب مهندس سعید اوحدی ریاست بنیاد شهید و امور ایثارگران با سلام و آرزوی توفیقات از آنجا ک,81
173,به نام آنکه جان را فکرت آموخت رئیس و نمایندگان محترم مجلس شورای اسلامی رئیس محترم قوه قضائیه با سلام,-1
174,ریاست محترم قوه قضائیه جمهوری اسلامی ایران سلام همان‌گونه که عقل سلیم و قوانین حکم می‌کند، اختیار و ,3
175,جای آن است که خون موج زند در دل لعلزین تغابن که خزف می‌شکند بازارش صحبت عافیتت گرچه خوش افتاد ای دلج,41
176,چه خوش است راز گفتن به حریف نکته‌سنجیکه سخن نگفته باشی، به سخن رسیده باشدریاست محترم جمهوری اسلامی ا,41
177,جناب آقای دکتر پزشکیانرئیس محترم جمهور سلام و احترام؛ متأسفانه سال‌هاست که سهمیه‌های تحصیلی باعث ناع,0
178,باسمه تعالی مدیرکل محترم راه و شهرسازی استان کردستان احتراما، فرهنگیان متقاضی مسکن ملی سقز و زیویه د,151
179,ریاست سازمان تعزیرات سلام و عرض ادب؛ با توجه به کیفیت پایین محصولات پاکشوما و عدم رسیدگی به شکایت مش,74
180,رئیس و نمایندگان محترم مجلس شورای اسلامی با سلام؛ از ریاست محترم مجلس شورای اسلامی و نمایندگان محترم,-1
181,ریاست مجلس محترم شورای اسلامیآقای دکتر قالیباف با سلام؛ با توجه به نزدیک شدن سالگرد ورود آزادگان عزی,2
182,وزیر محترم ورزش و جوانان دولت چهاردهم رئیس محترم فدراسیون فوتبال با سلام و احترام، ما هواداران تیم‌ه,31
183,بیانیه جامعه دانشگاهیان ایران در حمایت از جناب آقای دکتر محمد جواد ظریف با توجه به شرایط کنونی کشور ,-1
184,نمایندگان محترم مجلس شورای اسلامی سلام وی دانش‌آموخته کارشناسی مهندسی برق از دانشگاه تهران و کارشناس,-1
185,رئیس محترم سازمان امور استخدامی هیئت محترم دولت سلام پرسنل سازمان منابع طبیعی درگیر کنترل آتش‌سوزی خ,-1
186,ریاست محترم جمهوری سلام علیکم؛ احتراما به استحضار می‌رساند آزمون‌های نهایی دروس دهم، یازدهم و دوازده,-1
187,جناب آقای دکتر مسعود پزشکیان رئیس‌جمهور منتخب وزیر محترم بهداشت و درمان و آموزش پزشکی دولت چهاردهم م,1
188,وزیر محترم بهداشتجناب آقای بهرام عین‌الهی با سلام؛ به استحضار حضرتعالی می‌رساند که ما ملت ایران وقتی,0
189,جناب آقای دکتر پزشکیان رئیس جمهور محترم با سلام، احتراما به اطلاع می‌رساند طرح جذب بازنشستگان برای ک,0
190,وزیر محترم آموزش و پرورش رئیس محترم سازمان استخدامی با سلام و عرض ادب ما داوطلبان آزمون کیفیت بخشی، ,4
191,جناب آقای دکتر پزشکیانریاست محترم جمهوری اسلامی ایران جناب آقای دکتر قالیبافریاست محترم مجلس شورای ا,16
192,وزیر محترم آموزش و پرورش دولت چهاردهم با عرض سلام و ادب، در روزهای پایانی دولت سیزدهم، وزارت آموزش و,10
193,رئیس محترم جمهورجناب آقای دکتر پزشکیان با سلام و احترام؛ جامعه سهامداران در جهت احقاق حقوق خود از شم,-1
194,بسم الله الرحمن الرحیم ریاست محترم و نمایندگان محترم مجلس شورای اسلامی سلام علیکم با صلوات بر محمد و,-1
195,رئیس جمهور محترم ایرانجناب آقای دکتر پزشکیان با سلام و احترام؛ استحضار دارید که سالانه حدود بیست هزا,0
